Name,Code,ICAO
21 Air,2I,CSB
247 Aviation,,EMC
2Excel Aviation,,BRO
4 Airways,,DAK
40-Mile Air,Q5,MLA
748 Air Services,FE,IHO
9 Air,AQ,JYH
Abakan Air,S5,NKP
ABS Jets,,ABP
Abu Dhabi Aviation,,BAR
ABX Air,GB,ABX
Acass Ireland,,SON
Advanced Air,AN,WSN
Advanced Flight Training,,ADV
Aegean Airlines,A3,AEE
Aer Lingus,EI,EIN
Aer Lingus UK,EG,EUK
AerCaribe Cargo,JK,ACL
Aerius Management,,JCY
Aero,5E,BLK
Aero,N2,NIG
Aero Asahi,,AKF
Aero Charter,,GLT
Aero Charter and Transport,,CTA
Aero Clube de Coimbra,,MOD
Aero Dili,8G,DTL
Aero FlightOps UK,,UKA
Aero Guernsey,,AEO
Aero K,RF,EOK
Aero Mongolia,M0,MNG
Aero Nomad,KA,ANK
Aero Sotravia,,ASR
Aero Ways,,TKK
Aero-Beta Flight Training,,ABA
Aero-Dienst,,ADN
Aero-Tech Services,,TEK
Aeroavila Transortes Aereos,,KKA
Aerodynamics Malaga,,DNC
Aeroflot,SU,AFL
AeroGuard Flight Training Center,,ASI
Aeroitalia,XZ,AEZ
Aeroitalia Regional,KS,KON
Aerojet Tomza,,EZI
Aerolineas Argentinas,AR,ARG
Aerolineas Ejecutivas,,LET
Aerolineas Sosa,P4,NSO
Aerolink Uganda,A8,XAU
AeroLogic,3S,BOX
Aeromas,,MSM
Aeromexico,AM,AMX
Aeromexico Connect,5D,SLI
Aeronaves Dominicanas,DC,OLO
Aeronaves TSM,,VTM
Aeropartner,,DFC
Aeropassion,,PSJ
Aeropyrenees,,EAP
Aeroregional,6G,RER
Aeroservicios Avila,,VEA
Aeroservicios de la Costa,,TAA
Aerostan,KW,BSC
Aerosucre,A4,KRE
Aerosul Linhas Aereas,,ASO
Aerotec,,AEP
Aerotours,,ATU
Aerotranscargo,F5,ATG
AeroUnion,6R,TNO
Aerovias DAP,V5,DAP
Aerovis Airlines,,VIZ
Aeroways,,MCK
Aerus,ZV,RFD
AF-Aviation,,AFF
Africa Airlines,,AAT
Africa Charter Airline,,FSK
Africa World Airlines,AW,AFW
African Express Airways,XU,AXK
Afrijet,J7,ABS
Afriqiyah Airways,8U,AAW
Aims Community College Aviation,,RTY
Air 1st Aviation,,RUF
Air Adelphi,,MUS
Air Albania,ZB,ABN
Air Algerie,AH,DAH
Air Alliance,,AYY
Air Alsie,6I,MMD
Air Anka,6K,TAH
Air Antilles,4I,KES
Air Arabia,G9,ABY
Air Arabia Abu Dhabi,3L,ADY
Air Arabia Egypt,E5,RBG
Air Arabia Maroc,3O,MAC
Air Astana,KC,KZR
Air Astra,2A,AWA
Air Atlanta Europe,CT,AAE
Air Atlanta Icelandic,CC,ABD
Air Austral,UU,REU
Air Baltic,BT,BTI
Air Belgium,KF,ABB
Air Bohemia,,BOH
Air Borealis,,LBR
Air Botswana,BP,BOT
Air Burkina,2J,VBW
Air Busan,BX,ABL
Air Cairo,SM,MSC
Air Caledonie,TY,TPC
Air Cambodia,K6,KHV
Air Canada,AC,ACA
Air Canada Rouge,RV,ROU
Air Caraibes,TX,FWI
Air Caraïbes Atlantique,,CAJ
Air Care Alliance,,CMF
Air Cargo Carriers,2Q,SNC
Air Central,GI,LHA
Air Century,Y2,CEY
Air Changan,9H,CGN
Air Charity Network,,NGF
Air Charter Scotland,,EDC
Air Charter Scotland Europe,,SCO
Air Charters Europe,,AGR
Air Chathams,3C,CVA
Air China,CA,CCA
Air China Cargo,,CAO
Air China Inner Mongolia,,CNM
Air Class,,QCL
Air Corporate,,CPV
Air Corsica,XK,CCM
Air Côte d'Ivoire,HF,VRE
Air Creebec,YN,CRQ
Air Deccan,,DKN
Air Dilijans,RM,NGT
Air Djibouti,DJ,DJB
Air Do,HD,ADO
Air Dolomiti,EN,DLA
Air Dream College,,ADM
Air Eagle,,EPE
Air Europa,UX,AEA
Air Europa Express,X5,OVA
Air Excel,,XLL
Air Falcon,FS,FPK
Air Flamenco,F4,WAF
Air France,AF,AFR
Air France Hop,A5,HOP
Air Ghana,,GHN
Air Greenland,GL,GRL
Air Guilin,GT,CGH
Air Hong Kong,LD,AHK
